Status,Location,Service,25 kHz,8.33kHz,Indicated Conversion Date,LARS/SQUAWK,ICAO Code,ANO,,,,,,,,,,,,,,
Not Yet Converted,LEICESTER,A/G,122.125,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LERWICK/SUMBURGH,TWR,118.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LERWICK/SUMBURGH,A/G,122.950,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LERWICK/SUMBURGH,APP,123.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LERWICK/SUMBURGH,ATIS,125.850,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LERWICK/SUMBURGH,APP,131.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LEUCHARS,APP,119.225,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LEUCHARS,A/G,130.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LINTON-ON-OUSE,APP,118.550,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,LINTON-ON-OUSE,TWR,129.350,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LIPPITTS HILL,A/G,130.475,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LITTLE GRANSDEN,A/G,130.850,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LITTLE SNORING,A/G,118.125,,,-,,,,,,,,,,,,,,,,
Conversion Completed,LIVERPOOL,AS,,121.805,,-,EGGP,,,,,,,,,,,,,,,
Not Yet Converted,LIVERPOOL/LIVERPOOL,APP,118.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LIVERPOOL/LIVERPOOL,APP,119.850,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,LIVERPOOL/LIVERPOOL,AS,121.950,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LIVERPOOL/LIVERPOOL,ATIS,124.325,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LIVERPOOL/LIVERPOOL,TWR,126.350,,,-,,,,,,,,,,,,,,,,
Conversion Requested,LLANBEDR,A/G,118.925,,TBC,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON ACC,FIS,124.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON ACC,FIS,124.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON ACC,FIS,125.475,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON ACC,VOLMET,126.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON ACC,VOLMET,128.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON ACC,VOLMET,135.375,,,-,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/CITY,TWR,118.075,118.080,19/07/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/CITY,AS,121.825,121.830,19/07/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/CITY,APP,128.025,,,-,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/CITY,TWR,129.450,129.455,19/07/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/CITY,APP,132.700,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/CITY,ATIS,136.350,136.355,19/07/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/GATWICK,APP,118.950,,,-,,,,,,,,,,,,,,,,
Conversion Completed,LONDON/GATWICK,AS,,121.540,,-,EGKK,,,,,,,,,,,,,,,
Conversion Completed,LONDON/GATWICK,AS,,121.680,,-,EGKK,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/GATWICK,AS,,,,-,,,,,,,,,,,,,,,,
Conversion Completed,LONDON/GATWICK,AS,,121.930,,-,EGKK,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/GATWICK,AS,,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/GATWICK,APP,,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/GATWICK,APP,,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/GATWICK,APP,,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/GATWICK,TWR,,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/GATWICK,ATIS,,,,-,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/HEATHROW,TWR,118.500,118.505,19/07/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/HEATHROW,TWR,118.700,118.705,19/07/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/HEATHROW,APP,,,,-,,,,,,,,,,,,,,,,
Conversion Completed,LONDON/HEATHROW,AS,,121.555,,-,EGLL,,,,,,,,,,,,,,,
Conversion Completed,LONDON/HEATHROW,AS,,121.680,,-,EGLL,,,,,,,,,,,,,,,
Conversion Requested,LONDON/HEATHROW,AS,121.850,121.855,19/07/2018,-,,,,,,,,,,,,,,,,
Conversion Completed,LONDON/HEATHROW,AS,,121.730,,-,EGLL,,,,,,,,,,,,,,,
Conversion Completed,LONDON/HEATHROW,AS,,121.730,,-,EGLL,,,,,,,,,,,,,,,
Conversion Requested,LONDON/HEATHROW,AS,121.700,121.705,19/07/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/HEATHROW,AS,121.900,121.905,19/07/2018,-,,,,,,,,,,,,,,,,
Conversion Completed,LONDON/HEATHROW,AS,,121.930,,-,EGLL,,,,,,,,,,,,,,,
Conversion Completed,LONDON/HEATHROW,AS,,121.955,,-,EGLL,,,,,,,,,,,,,,,
Conversion Requested,LONDON/HEATHROW,AS,121.975,121.980,19/07/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/HEATHROW,TWR,124.475,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/HEATHROW,APP,125.625,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/HEATHROW,ATIS,128.075,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/HELIPORT,TWR,134.275,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/STANSTED,APP,120.625,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/STANSTED,AS,121.725,121.730,26/04/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/STANSTED,AS,121.950,121.955,26/04/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/STANSTED,TWR,123.800,123.805,26/04/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/STANSTED,TWR,125.550,,,-,,,,,,,,,,,,,,,,
Conversion Requested,LONDON/STANSTED,ATIS,127.175,127.180,26/04/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/STANSTED,APP,132.050,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/STANSTED,APP,136.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDON/STANSTED2,APP,136.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDONDERRY,APP,123.625,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDONDERRY,TWR,134.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LONDONDERRY/EGLINTON,ATIS,119.375,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LOSSIEMOUTH,TWR,118.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LOSSIEMOUTH,APP,118.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LOSSIEMOUTH,APP,119.575,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,LOW HILL FARM,A/G,119.275,,,-,,,,,,,,,,,,,,,,
Conversion Requested,LUTON/LUTON,ATIS,120.575,120.580,26/04/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,LUTON/LUTON,AS,121.675,,,-,,,,,,,,,,,,,,,,
Conversion Requested,LUTON/LUTON,AS,121.750,121.755,26/04/2018,-,,,,,,,,,,,,,,,,
Conversion Completed,LUTON/LUTON,AS,,121.880,,-,EGGW,,,,,,,,,,,,,,,
Not Yet Converted,LUTON/LUTON,TWR,126.725,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LUTON/LUTON,APP,128.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LUTON/LUTON,APP,129.550,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Requested,LUTON/LUTON,TWR,132.550,132.555,26/04/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,LYDD/LYDD,TWR,119.375,119.380,21/06/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,LYDD/LYDD,APP,120.700,120.705,21/06/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,LYDD/LYDD,ATIS,129.225,129.230,21/06/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,LYDD/LYDD,OPC,130.075,131.705,21/06/2018,,,,,,,,,,,,,,,,,
Not Yet Converted,MACHRIHANISH,AFIS,125.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANCHESTER/MANCHESTER,APP,118.575,118.580,24/05/2018,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,MANCHESTER/MANCHESTER,TWR,118.625,118.630,24/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANCHESTER/MANCHESTER,TWR,119.400,119.405,24/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANCHESTER/MANCHESTER,APP,121.350,121.355,24/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANCHESTER/MANCHESTER,AS,121.700,121.705,24/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANCHESTER/MANCHESTER,AS,121.850,121.855,24/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANCHESTER/MANCHESTER,AS,121.975,121.980,24/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANCHESTER/MANCHESTER,ATIS,128.175,128.180,24/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANCHESTER/MANCHESTER,APP,135.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANSTON,TWR,119.925,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANSTON,APP,126.350,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANSTON,APP,132.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,MANSTON,ATIS,133.675,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,MARHAM,APP,118.325,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,MARHAM,APP,124.150,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,MIDDLE WALLOP,TWR,118.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,MILDENHALL,AS,121.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,MILDENHALL,TWR,122.550,,,-,,,,,,,,,,,,,,,,
Conversion Completed,NANTCLWYD,A/G,,130.380,,-,-,,,,,,,,,,,,,,,
Not Yet Converted,NETHERAVON,TWR,128.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NETHERTHORPE,A/G,123.275,,,-,,,,,,,,,,,,,,,,
Conversion Requested,NEWCASTLE/NEWCASTLE,ATIS,118.375,118.380,26/04/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,NEWCASTLE/NEWCASTLE,TWR,119.700,119.705,26/04/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,NEWCASTLE/NEWCASTLE,AS,121.725,121.730,26/04/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,NEWCASTLE/NEWCASTLE,APP,124.375,124.380,26/04/2018,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Requested,NEWCASTLE/NEWCASTLE,APP,125.825,125.830,26/04/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,NEWTOWNARDS,A/G,128.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTH DENES,APP,123.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTH SEA,APP,122.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTH SEA,A/G,124.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTH SEA,A/G,128.100,,,-,,,,,,,,,,,,,,,,
Conversion Completed,NORTH WEALD,A/G,123.525,123.530,,-,EGSX,,,,,,,,,,,,,,,
Conversion Requested,NORTHAMPTON/SYWELL,AFIS,122.700,122.705,31/03/2018,-,EGBK,,,,,,,,,,,,,,,
Not Yet Converted,NORTHCOTE,A/G,120.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTHOLT,TWR,118.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTHOLT,APP,120.675,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTHOLT,AS,121.575,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTHOLT,ATIS,125.125,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTHOLT,TWR,125.875,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTHOLT,APP,126.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTHOLT,APP,129.125,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,NORTHOLT,APP,130.350,,,-,,,,,,,,,,,,,,,,
Conversion Requested,NORWICH,APP,119.350,119.355,01/05/2018,LARS/SQUAWK,,,,,,,,,,,,,,,,
Problem,NORWICH,TWR,124.250,124.255,01/05/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,NORWICH,APP,128.325,128.325,01/05/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,NORWICH,ATIS,128.625,128.630,01/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,NOTTINGHAM,A/G,134.875,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,OAKSEY PARK,A/G,132.225,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,OBAN,AFIS,118.050,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ODIHAM,APP,131.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,OFI TRENT,A/G,120.075,,,-,,,,,,,,,,,,,,,,
Conversion Completed,OLD SARUM,A/G,,123.205,,-,EGLS,,,,,,,,,,,,,,,
Conversion Requested,OLD WARDEN,A/G,130.700,130.705,TBC,-,,,,,,,,,,,,,,,,
Conversion Completed,OXFORD/KIDLINGTON,AS,,121.955,,-,EGTK,,,,,,,,,,,,,,,
Conversion Completed,OXFORD/KIDLINGTON,APP,,125.090,,-,EGTK,,,,,,,,,,,,,,,
Conversion Requested,OXFORD/KIDLINGTON,APP,125.325,125.090,TBC,-,,,,,,,,,,,,,,,,
Conversion Completed,OXFORD/KIDLINGTON,APP,,127.110,,-,EGTK,,,,,,,,,,,,,,,
Conversion Requested,OXFORD/KIDLINGTON,APP,127.750,127.110,TBC,LARS/SQUAWK,,,,,,,,,,,,,,,,
Problem,OXFORD/KIDLINGTON,TWR,133.425,133.430,31/12/2018,-,EGTK,,,,,,,,,,,,,,,
Conversion Completed,OXFORD/KIDLINGTON,ATIS,,136.230,,-,EGTK,,,,,,,,,,,,,,,
Not Yet Converted,PERTH/PERTH,A/G,119.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,PETERBOROUGH/CONINGT,A/G,129.725,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,PETERBOROUGH/SIBSON,A/G,120.325,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,PLYMOUTH,APP,121.250,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Completed,POPHAM,A/G,,129.805,,-,EGHP,,,,,,,,,,,,,,,
Not Yet Converted,PORTLAND,APP,124.150,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,PREDANNACK,A/G,124.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,PRESTWICK/PRESTWICK,TWR,118.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,PRESTWICK/PRESTWICK,ATIS,121.125,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,PRESTWICK/PRESTWICK,APP,124.625,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,PRESTWICK/PRESTWICK,TWR,127.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,PRESTWICK/PRESTWICK,APP,129.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,RAF KINLOSS,A/G,118.350,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,RAF LITTLE RISSINGTON,A/G,124.100,,,-,,,,,,,,,,,,,,,,
Conversion Completed,RAF MONA,A/G,118.955,,,-,EGOQ,,,,,,,,,,,,,,,
Not Yet Converted,RAF MONA,A/G,119.175,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,RAF ODIHAM,TWR,119.225,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,RAF SPADEADAM,A/G,128.725,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,REDHILL,TWR,119.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,REDHILL,ATIS,125.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,RHUDDLAN,A/G,123.475,,,-,,,,,,,,,,,,,,,,
Conversion Completed,ROCHESTER,AFIS/AG,122.255,,28/02/2018,-,EGTO,,,,,,,,,,,,,,,
Conversion Completed,ROUGHAM AIRFIELD,A/G,123.165,,,-,-,,,,,,,,,,,,,,,
Not Yet Converted,SALISBURY PLAIN,TWR,130.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SANDTOFT,A/G,130.425,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SAXA VORD,A/G,118.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SCATSTA,ATIS,128.500,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SCATSTA,APP,131.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SCATSTA NESS,APP,122.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SCATSTA NESS,APP,123.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SCILLY ISLES,APP,118.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SCILLY ISLES,APP,124.875,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SCOTTISH ACC,VOLMET,125.725,,,-,,,,,,,,,,,,,,,,
Conversion Completed,SEETHING,A/G,122.605,,01/03/2018,-,EGSJ,,,,,,,,,,,,,,,
Not Yet Converted,SHACKLEWELL,A/G,128.375,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SHAWBURY,APP,133.150,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,SHERBURN-IN-ELMET,A/G,122.600,,,-,,,,,,,,,,,,,,,,
Conversion Completed,SHIPDHAM,A/G,132.230,,,-,EGSA,,,,,,,,,,,,,,,
Conversion Requested,SHOBDON,AFIS,123.500,118.155,01/05/2018,-,EGBS,,,,,,,,,,,,,,,
Not Yet Converted,SHOREHAM,APP,123.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SHOREHAM,TWR,125.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SHOREHAM,ATIS,130.975,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SILVERSTONE,A/G,121.075,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SILVERSTONE,TWR,123.325,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SILVERSTONE,A/G,130.275,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SKEGNESS,A/G,132.425,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SLEAP,A/G,122.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SOUTH CERNEY,A/G,120.775,,,-,,,,,,,,,,,,,,,,
Conversion Completed,SOUTHAMPTON,APP,,122.730,19/12/2017,-,EGHI,,,,,,,,,,,,,,,
Conversion Completed,SOUTHAMPTON/SOUTHAMP,TWR,,118.205,14/12/2017,-,EGHI,,,,,,,,,,,,,,,
Not Yet Converted,SOUTHAMPTON/SOUTHAMP,APP,120.225,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Completed,SOUTHAMPTON/SOUTHAMP,ATIS,,130.880,14/12/2017,-,EGHI,,,,,,,,,,,,,,,
Conversion Requested,SOUTHEND,APP,132.450,132.455,31/07/2018,-,EGMC,,,,,,,,,,,,,,,
Conversion Requested,SOUTHEND/SOUTHEND,ATIS,121.800,121.805,TBC,-,EGMC,,,,,,,,,,,,,,,
Conversion Completed,SOUTHEND/SOUTHEND,TWR,127.725,127.730,,-,EGMC,,,,,,,,,,,,,,,
Conversion Requested,SOUTHEND/SOUTHEND,APP,130.775,130.780,31/05/2018,LARS/SQUAWK,EGMC,,,,,,,,,,,,,,,
Conversion Completed,SOUTHEND/SOUTHEND,ATIS,136.050,136.055,,-,EGMC,,,,,,,,,,,,,,,
Not Yet Converted,NEWQUAY,AS,121.950,,TBC,-,,,,,,,,,,,,,,,,
Conversion Requested,NEWQUAY,ATIS,127.400,,TBC,-,,,,,,,,,,,,,,,,
Conversion Requested,NEWQUAY,APP,127.925,,TBC,-,,,,,,,,,,,,,,,,
Conversion Requested,NEWQUAY,APP,133.400,,TBC,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Requested,NEWQUAY,TWR,134.375,,TBC,-,,,,,,,,,,,,,,,,
Not Yet Converted,ST. ATHAN,APP,118.125,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,STAFFORDSHIRE HELIPORT,A/G,123.750,,,-,,,,,,,,,,,,,,,,
Conversion Completed,STANSTED,AS,,118.760,,-,EGSS,,,,,,,,,,,,,,,
Conversion Completed,STANSTED,AS,,121.555,,-,EGSS,,,,,,,,,,,,,,,
Conversion Completed,STANSTED,AS,,121.930,,-,EGSS,,,,,,,,,,,,,,,
Not Yet Converted,STAPLEFORD/TAWNY,AFIS,122.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,STOKE AIRFIELD,A/G,118.925,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,STORNOWAY,APP,123.500,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,STORNOWAY,ATIS,126.700,,,-,,,,,,,,,,,,,,,,
Conversion Requested,STOW MARIES,A/G,118.980,,01/04/2018,-,-,,,,,,,,,,,,,,,
Not Yet Converted,STURGATE,A/G,130.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SWANSEA,A/G,119.700,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SWANTON MORLEY,A/G,124.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SYERSTON,AS,121.825,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SYERSTON,A/G,123.375,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,SYERSTON,A/G,128.525,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,TAIN,A/G,122.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,TATTENHILL,A/G,124.075,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,TEES-SIDE/TEES-SIDE,AS,121.700,,,-,,,,,,,,,,,,,,,,
Conversion Requested,THRUXTON,A/G,130.450,118.280,TBC,-,,,,,,,,,,,,,,,,
Conversion Completed,TILSTOCK,A/G,,118.105,,-,EGCT,,,,,,,,,,,,,,,
Not Yet Converted,TINGWALL,AFIS,125.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,TIREE,AFIS,122.700,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,TOPCLIFFE,TWR,121.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,TOPCLIFFE,A/G,125.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,TURWESTON,A/G,122.175,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,UPAVON,A/G,124.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,VALLEY,ATIS,120.725,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,VALLEY,APP,125.225,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,WADDINGTON,APP,119.500,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,WADDINGTON,TWR,121.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WADDINGTON,APP,125.350,,,-,,,,,,,,,,,,,,,,
Conversion Requested,WARTON,ATIS(AS),121.730,,29/03/2018,-,EGNO,,,,,,,,,,,,,,,
Conversion Requested,WARTON,AS,121.830,,29/03/2018,-,EGNO,,,,,,,,,,,,,,,
Conversion Requested,WARTON,APP,126.580,,29/03/2018,-,EGNO,,,,,,,,,,,,,,,
Conversion Requested,WARTON,APP,129.530,,29/03/2018,-,EGNO,,,,,,,,,,,,,,,
Conversion Requested,WARTON,APP,129.730,,29/03/2018,-,EGNO,,,,,,,,,,,,,,,
Conversion Requested,WARTON,TWR,130.805,,29/03/2018,-,EGNO,,,,,,,,,,,,,,,
Conversion Completed,BRIMPTON/WASING,A/G,,135.130,01/03/2018,-,EGLP,,,,,,,,,,,,,,,
Not Yet Converted,WATTISHAM,APP,125.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WELLESBOURNE MOUNTFO,AFIS,124.025,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WELSHPOOL,A/G,128.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WEST FREUGH,APP,130.050,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WEST KIRBY,A/G,118.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WESTON ON THE GREEN,A/G,133.650,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WETHERSFIELD,A/G,124.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WHITE WALTHAM,AFIS,122.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WICK,APP,119.700,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WICK,ATIS,124.350,,,-,,,,,,,,,,,,,,,,
Conversion Completed,WICKENBY,A/G,,122.455,,-,EGNW,,,,,,,,,,,,,,,
Not Yet Converted,WITTERING,APP,119.675,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WITTERING,ATIS,123.925,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WITTERING,TWR,127.975,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WITTERING,PAR,135.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WOLVERHAMPTON,AFIS,123.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WOODVALE,TWR,119.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WOODVALE,TWR,121.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WYCOMBE AIR PARK,AS,121.775,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,WYCOMBE AIR PARK,TWR,126.550,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,YEOVIL,A/G,118.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,YEOVIL,PAR,123.275,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,YEOVIL,TWR,125.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,YEOVIL,APP,130.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,YEOVIL/WESTLAND,APP,119.050,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,YEOVILTON,TWR,120.800,,,-,,,,,,,,,,,,,,,,
